Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,4283.0,4844.0,5361.0,5617.0,6078.0,7078.0,7294.0,7293.0,9921.0,11799.0,12383.0,13140.0
Expenses,3611.0,4073.0,4188.0,4355.0,4737.0,5707.0,5718.0,5606.0,8065.0,9813.0,9675.0,10131.0
Operating Profit,672.0,771.0,1173.0,1262.0,1341.0,1371.0,1576.0,1686.0,1856.0,1986.0,2708.0,3009.0
OPM,16.0,16.0,22.0,22.0,22.0,19.0,22.0,23.0,19.0,17.0,22.0,23.0
Other Income,38.0,40.0,81.0,115.0,153.0,130.0,97.0,74.0,39.0,55.0,63.0,222.0
Interest,16.0,16.0,13.0,14.0,16.0,26.0,34.0,37.0,42.0,48.0,51.0,50.0
Depreciation,81.0,118.0,100.0,115.0,120.0,133.0,170.0,201.0,240.0,270.0,341.0,358.0
Profit before tax,612.0,678.0,1141.0,1248.0,1359.0,1342.0,1470.0,1522.0,1614.0,1723.0,2379.0,2823.0
Tax,27.0,25.0,29.0,31.0,29.0,31.0,24.0,26.0,25.0,25.0,27.0,26.0
Net Profit,450.0,514.0,807.0,863.0,966.0,928.0,1122.0,1126.0,1207.0,1289.0,1747.0,2096.0
EPS in Rs,8.77,10.0,15.66,16.77,18.95,18.21,21.97,22.26,23.76,25.05,34.0,40.82
Dividend Payout,31.0,29.0,26.0,28.0,32.0,36.0,32.0,38.0,42.0,44.0,47.0,49.0
