Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,86,86,86,101,102,102,153,153,153,150,150,159
Reserves,5162,5775,5803,7214,9067,14613,19129,20734,24508,26708,24657,29054
Borrowings,3349,3281,5258,6443,6638,29139,29388,24519,26746,23939,29754,25099
Other Liabilities,4162,5143,5722,6454,7148,18581,19758,23359,29196,35318,30579,33690
Total Liabilities,12759,14284,16869,20212,22955,62435,68428,68765,80603,86115,85140,88002
Fixed Assets,3821,4031,3862,4071,4437,32149,35321,34765,36193,38713,39056,41015
CWIP,228,583,484,792,1319,1855,2073,2117,2501,2818,2965,615
Investments,737,764,335,378,1034,708,558,618,1922,1615,2154,2328
Other Assets,7973,8906,12188,14971,16165,27723,30476,31265,39987,42969,40965,44044
Total Assets,12759,14284,16869,20212,22955,62435,68428,68765,80603,86115,85140,88002
