Financial_Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,1274,1564,1564,1564,1564,1564,1584,1584,1584
Reserves,-71,-223,369,793,636,1050,5720,8250,10553
Borrowings,4347,9864,11142,14866,24209,52832,54223,64858,80040
Other Liabilities,610,4503,1582,1201,2283,3508,5382,13394,19221
Total Liabilities,6160,15709,14658,18424,28692,58954,66909,88086,111398
Fixed Assets,4341,9120,10388,12554,16429,28452,48336,62284,79915
CWIP,267,1725,743,1208,4452,19899,5291,6427,14479
Investments,26,87,77,476,502,574,1149,1515,2743
Other Assets,1525,4777,3449,4186,7309,10029,12133,17860,14261
Total Assets,6160,15709,14658,18424,28692,58954,66909,88086,111398
