Financial_Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,502.0,1480.0,2058.0,2549.0,3124.0,5133.0,7776.0,9220.0,11212.0
Expenses,98.0,637.0,532.0,1098.0,883.0,1621.0,2806.0,1902.0,2335.0
Operating Profit,403.0,843.0,1526.0,1450.0,2241.0,3512.0,4970.0,7318.0,8877.0
OPM,80.0,57.0,74.0,57.0,72.0,68.0,64.0,79.0,79.0
Other Income,80.0,42.0,73.0,-111.0,391.0,507.0,667.0,1262.0,884.0
Interest,334.0,552.0,1121.0,995.0,1953.0,2617.0,2911.0,5006.0,5492.0
Depreciation,333.0,543.0,1062.0,394.0,486.0,849.0,1300.0,1903.0,2498.0
Profit before tax,-184.0,-210.0,-585.0,-50.0,193.0,553.0,1426.0,1671.0,1771.0
Tax,-75.0,-35.0,-19.0,23.0,6.0,12.0,32.0,25.0,12.0
Net Profit,-47.0,-138.0,-475.0,-68.0,182.0,489.0,973.0,1260.0,2001.0
EPS in Rs,-0.37,-1.0,-3.03,-0.15,1.34,3.13,6.15,6.94,9.12
Dividend Payout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
