Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,1461.0,1635.0,1584.0,1971.0,2598.0,2162.0,2220.0,2311.0,2527.0,2835.0,3055.0,2340.0,3073.0
Expenses,489.0,687.0,718.0,1118.0,334.0,81.0,521.0,645.0,693.0,392.0,850.0,460.0,671.0
Operating Profit,972.0,948.0,866.0,853.0,2264.0,2081.0,1699.0,1666.0,1834.0,2443.0,2205.0,1880.0,2402.0
OPM,67.0,58.0,55.0,43.0,87.0,96.0,77.0,72.0,73.0,86.0,72.0,80.0,78.0
Other Income,111.0,66.0,100.0,216.0,265.0,178.0,353.0,264.0,234.0,219.0,224.0,280.0,39.0
Interest,667.0,458.0,498.0,617.0,1338.0,1393.0,1165.0,1242.0,1224.0,1440.0,1369.0,1251.0,1368.0
Depreciation,274.0,280.0,298.0,330.0,392.0,451.0,474.0,481.0,497.0,593.0,618.0,618.0,663.0
Profit before tax,142.0,276.0,170.0,122.0,799.0,415.0,413.0,207.0,347.0,629.0,442.0,291.0,410.0
Tax,15.0,21.0,14.0,52.0,38.0,34.0,29.0,33.0,24.0,29.0,6.0,-37.0,29.0
Net Profit,121.0,214.0,149.0,103.0,507.0,323.0,371.0,256.0,310.0,629.0,515.0,474.0,383.0
EPS in Rs,0.77,1.35,0.94,0.65,3.21,2.03,2.35,1.62,0.95,2.82,1.74,3.11,1.45
Raw PDF,,,,,,,,,,,,,
