Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,2872,2872,3334,3857,3857,3857,3857,3857,3857,3857,3857,3857
Reserves,3671,2853,4134,-857,-2968,3855,2624,9256,14600,26019,39288,52490
Borrowings,44150,44742,52729,52484,52835,46980,55199,52519,49145,42350,34616,39495
Other Liabilities,8045,8008,15597,16027,15804,13293,13346,13175,14379,13596,14248,17076
Total Liabilities,58739,58474,75794,71511,69528,67985,75025,78806,81981,85821,92009,112918
Fixed Assets,46365,45080,56941,54391,52137,50419,55846,52851,53274,51451,63016,69297
CWIP,3660,191,88,125,120,350,2347,6439,10270,12880,925,12104
Investments,115,357,0,164,0,3,3,20,183,654,374,1097
Other Assets,8599,12846,18765,16831,17271,17213,16830,19495,18254,20836,27694,30418
Total Assets,58739,58474,75794,71511,69528,67985,75025,78806,81981,85821,92009,112918
