Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,15328.0,18683.0,25377.0,22616.0,20304.0,23884.0,26468.0,26221.0,27711.0,38773.0,50351.0,56203.0
Expenses,10735.0,14005.0,16575.0,16635.0,14868.0,18901.0,20734.0,17533.0,17830.0,28677.0,32124.0,34898.0
Operating Profit,4593.0,4678.0,8802.0,5980.0,5436.0,4983.0,5734.0,8688.0,9881.0,10096.0,18228.0,21305.0
OPM,30.0,25.0,35.0,26.0,27.0,21.0,22.0,33.0,36.0,26.0,36.0,38.0
Other Income,137.0,1188.0,-201.0,-3666.0,754.0,2448.0,323.0,1909.0,3908.0,4216.0,9883.0,2703.0
Interest,4162.0,4864.0,5560.0,5902.0,5570.0,5657.0,5315.0,5106.0,4095.0,3334.0,3388.0,3340.0
Depreciation,1937.0,1818.0,2666.0,2672.0,2699.0,2751.0,3006.0,3202.0,3118.0,3304.0,3931.0,4309.0
Profit before tax,-1370.0,-816.0,375.0,-6260.0,-2079.0,-976.0,-2265.0,2289.0,6577.0,7675.0,20792.0,16360.0
Tax,-79.0,0.0,-47.0,-1.0,-0.0,1.0,0.0,45.0,25.0,-40.0,-0.0,22.0
Net Profit,-291.0,-816.0,551.0,-6174.0,-2103.0,-984.0,-2275.0,1270.0,4912.0,10727.0,20829.0,12750.0
EPS in Rs,-1.01,-2.84,1.65,-16.01,-5.45,-2.55,-5.9,3.29,12.73,27.81,54.0,33.55
Dividend Payout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
