Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,723,723,656,1311,1967,1967,1967,2093,2129,2129,2136,4273
Reserves,18717,21839,27138,29508,34652,36798,34565,51462,49776,51393,73499,77112
Borrowings,33152,25492,23388,35725,37659,44839,65476,54532,64534,69376,54599,61101
Other Liabilities,35868,38268,35241,42541,46078,53322,48852,52891,71089,65210,72184,75898
Total Liabilities,88460,86322,86422,109086,120356,136926,150860,160978,187529,188109,202418,218382
Fixed Assets,27580,29109,25358,33684,45539,49315,60175,64098,83901,86675,86798,101775
CWIP,9372,15787,17459,16834,9875,13654,17757,17037,15433,16249,20204,13240
Investments,6985,7712,9401,21327,23725,24907,27029,26768,23616,26778,26631,26531
Other Assets,44523,33714,34203,37241,41217,49050,45900,53075,64578,58406,68785,76837
Total Assets,88460,86322,86422,109086,120356,136926,150860,160978,187529,188109,202418,218382
