Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,339,339,339,1016,1524,1524,1524,1452,1419,1419,1419,2128
Reserves,13660,13585,16325,20055,24008,28876,29456,36628,39985,30844,45502,49016
Borrowings,47995,36916,22160,22130,21952,28192,44001,43709,48498,70671,66684,70558
Other Liabilities,35002,34905,30729,37127,42197,48762,41935,52438,64774,59034,69205,73042
Total Liabilities,96996,85745,69553,80329,89681,107354,116918,134228,154676,161968,182810,194745
Fixed Assets,38966,45425,34086,36876,38695,41642,48952,50912,58126,68387,79763,86211
CWIP,6157,3950,1914,1867,4011,9519,17170,25336,28907,25607,20078,17935
Investments,5691,6113,9185,11773,12882,14297,14396,15093,18867,23689,29540,27046
Other Assets,46183,30257,24368,29811,34094,41896,36400,42887,48775,44284,53429,63552
Total Assets,96996,85745,69553,80329,89681,107354,116918,134228,154676,161968,182810,194745
