Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,234237.0,216648.0,177910.0,187493.0,219510.0,275491.0,269092.0,233248.0,349913.0,440709.0,433857.0,434106.0
Expenses,228875.0,211916.0,169575.0,176607.0,208732.0,263963.0,263887.0,217194.0,339669.0,447916.0,408929.0,417675.0
Operating Profit,5363.0,4733.0,8335.0,10886.0,10778.0,11527.0,5204.0,16055.0,10244.0,-7207.0,24928.0,16432.0
OPM,2.0,2.0,5.0,6.0,5.0,4.0,2.0,7.0,3.0,-2.0,6.0,4.0
Other Income,1366.0,1836.0,1970.0,3697.0,2785.0,2383.0,679.0,2731.0,3897.0,3957.0,3725.0,2088.0
Interest,2393.0,1841.0,723.0,609.0,618.0,786.0,1139.0,963.0,997.0,2174.0,2556.0,3365.0
Depreciation,3011.0,2497.0,2846.0,2776.0,2834.0,3085.0,3370.0,3625.0,4000.0,4560.0,5596.0,6154.0
Profit before tax,1325.0,2231.0,6735.0,11197.0,10110.0,10039.0,1374.0,14197.0,9144.0,-9984.0,20500.0,9000.0
Tax,19.0,33.0,31.0,26.0,29.0,33.0,-92.0,25.0,20.0,-30.0,22.0,25.0
Net Profit,1080.0,1489.0,4675.0,8236.0,7218.0,6691.0,2639.0,10663.0,7294.0,-6980.0,16015.0,6736.0
EPS in Rs,4.73,6.56,20.45,36.03,31.58,29.27,11.54,48.83,34.28,-32.8,75.26,31.66
Dividend Payout,49.0,55.0,25.0,37.0,36.0,36.0,56.0,31.0,27.0,0.0,28.0,33.0
