Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,97635.0,114502.0,108462.0,109688.0,108056.0,112079.0,95752.0,111348.0,114678.0,113888.0,99977.0,110608.0,109633.0
Expenses,94829.0,126998.0,110233.0,108014.0,102927.0,102434.0,87512.0,109187.0,109796.0,111800.0,97661.0,105113.0,103837.0
Operating Profit,2806.0,-12496.0,-1771.0,1674.0,5130.0,9646.0,8240.0,2160.0,4882.0,2089.0,2316.0,5495.0,5795.0
OPM,3.0,-11.0,-2.0,2.0,5.0,9.0,9.0,2.0,4.0,2.0,2.0,5.0,5.0
Other Income,1112.0,2011.0,280.0,564.0,1358.0,1299.0,1040.0,791.0,594.0,933.0,506.0,462.0,923.0
Interest,335.0,340.0,603.0,693.0,537.0,627.0,590.0,620.0,720.0,733.0,944.0,931.0,757.0
Depreciation,1079.0,1106.0,1094.0,1123.0,1238.0,1371.0,1247.0,1345.0,1632.0,1484.0,1530.0,1518.0,1623.0
Profit before tax,2503.0,-11931.0,-3187.0,422.0,4713.0,8947.0,7443.0,986.0,3124.0,805.0,348.0,3509.0,4338.0
Tax,19.0,-28.0,-22.0,-5.0,23.0,24.0,22.0,28.0,13.0,21.0,59.0,28.0,21.0
Net Profit,2018.0,-8557.0,-2476.0,444.0,3608.0,6766.0,5827.0,713.0,2709.0,634.0,143.0,2544.0,3415.0
EPS in Rs,9.49,-40.22,-11.63,2.09,16.96,31.8,27.38,3.35,12.73,2.98,0.67,11.95,16.05
Raw PDF,,,,,,,,,,,,,
