Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,2428,2428,2370,4739,9479,9181,9181,9181,9181,13772,13772,13772
Reserves,65485,66404,87610,97357,104395,103288,86217,102657,124354,125949,169645,172716
Borrowings,94916,64893,58552,63271,65650,96765,129790,116649,132020,148977,132628,152271
Other Liabilities,103124,100158,83184,108352,116336,126128,104773,126658,145327,153298,166639,168109
Total Liabilities,265953,233883,231715,273719,295860,335363,329962,355145,410882,441995,482683,506867
Fixed Assets,72554,76781,100033,115958,124053,132494,147022,157085,160514,180048,195998,205323
CWIP,38061,40378,26219,16778,19130,28281,32845,36291,47469,51133,61032,73740
Investments,15895,16069,31185,43687,44806,44112,35571,44717,52352,52190,65542,67218
Other Assets,139443,100655,74278,97295,107871,130476,114524,117053,150546,158624,160111,160585
Total Assets,265953,233883,231715,273719,295860,335363,329962,355145,410882,441995,482683,506867
