Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,8245,8245,8245,8245,8245,8245,9895,9895,9697,9697,9697,9697,9697
Reserves,72995,79084,73849,83330,89593,95318,101462,108945,116042,125677,137326,151013,158575
Borrowings,70419,81455,102252,99424,113773,130049,173058,202984,210208,210707,222913,237131,242009
Other Liabilities,27116,31334,35366,33666,36990,48880,62509,55746,62075,69751,77253,81437,81950
Total Liabilities,178776,200118,219712,224665,248601,282492,346923,377569,398022,415831,447189,479278,492230
Fixed Assets,71833,84208,91853,92929,104532,128245,150985,187803,203245,224923,240424,258934,259252
CWIP,46555,53825,67555,75046,86896,83386,118397,98508,97506,91126,89179,87664,95612
Investments,4923,3300,1902,6473,7614,8876,8132,9307,10589,10626,13935,15885,16500
Other Assets,55465,58785,58403,50217,49560,61985,69409,81951,86681,89156,103651,116795,120866
Total Assets,178776,200118,219712,224665,248601,282492,346923,377569,398022,415831,447189,479278,492230
