Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,33293.0,37085.0,43177.0,44175.0,44602.0,44253.0,43075.0,44983.0,42820.0,47622.0,48521.0,44696.0,45053.0
Expenses,22319.0,25659.0,32381.0,33808.0,31783.0,32311.0,30664.0,32303.0,31458.0,33638.0,35091.0,33041.0,31729.0
Operating Profit,10974.0,11426.0,10796.0,10367.0,12819.0,11942.0,12411.0,12680.0,11362.0,13984.0,13429.0,11655.0,13324.0
OPM,33.0,31.0,25.0,23.0,29.0,27.0,29.0,28.0,27.0,29.0,28.0,26.0,30.0
Other Income,799.0,1027.0,730.0,1380.0,747.0,1084.0,994.0,1024.0,2532.0,1406.0,1195.0,3227.0,1003.0
Interest,2232.0,2408.0,2477.0,2652.0,3168.0,2860.0,2922.0,2921.0,3250.0,2955.0,3136.0,3621.0,2764.0
Depreciation,3452.0,3821.0,3542.0,3687.0,3715.0,3848.0,3821.0,4038.0,4074.0,4271.0,4204.0,4216.0,4318.0
Profit before tax,6089.0,6224.0,5508.0,5408.0,6683.0,6318.0,6661.0,6746.0,6571.0,8164.0,7284.0,7046.0,7245.0
Tax,24.0,16.0,28.0,37.0,27.0,23.0,26.0,30.0,21.0,20.0,24.0,24.0,29.0
Net Profit,4626.0,5200.0,3978.0,3418.0,4854.0,4872.0,4907.0,4726.0,5209.0,6490.0,5506.0,5380.0,5170.0
EPS in Rs,4.64,5.33,4.06,3.44,4.93,5.01,5.03,4.76,5.32,6.36,5.65,5.44,5.22
Raw PDF,,,,,,,,,,,,,
