Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,4630,5232,5232,5232,5232,5232,5232,5232,5232,6975,6975,9301,9301
Reserves,21773,29466,33207,38738,44634,49194,53857,59464,64704,69272,76051,77845,82760
Borrowings,69233,84220,96243,108545,118988,131503,146376,148270,143232,134696,128584,123516,122568
Other Liabilities,17748,22562,26102,26797,26809,39425,41916,43706,42539,40008,40615,40168,40668
Total Liabilities,113384,141480,160784,179312,195662,225354,247380,256671,255708,250950,252225,250829,255297
Fixed Assets,62568,74252,91191,115094,137678,156198,172740,181112,183726,191773,185437,177761,174178
CWIP,35265,50069,53681,45611,38264,37669,37631,35177,24838,12854,13772,18197,23767
Investments,586,423,220,919,1165,1224,1296,1431,1486,3788,3489,4163,3410
Other Assets,14964,16736,15693,17688,18555,30264,35713,38951,45659,42536,49527,50708,53941
Total Assets,113384,141480,160784,179312,195662,225354,247380,256671,255708,250950,252225,250829,255297
