Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,237,237,270,270,270,270,270,270,320,320,320,320,320
Reserves,12098,12164,14048,11363,12944,16129,18035,19296,22003,22122,28468,32036,33360
Borrowings,37882,40173,40607,38849,48815,48589,48506,51936,46708,51195,52923,53689,58314
Other Liabilities,17038,18810,20260,19575,20799,16903,17262,18172,29625,38913,46386,53010,53137
Total Liabilities,67257,71383,75185,70057,82829,81892,84073,89674,98655,112550,128096,139054,145130
Fixed Assets,41353,43394,44726,36414,46595,44656,44305,47666,52179,57389,61747,67210,70167
CWIP,2358,3389,3323,1345,2178,1653,2576,1612,3270,4635,5376,11561,14306
Investments,3120,3019,3445,11785,11873,12429,13542,14535,13149,14160,16670,16316,15441
Other Assets,20426,21582,23692,20513,22184,23154,23651,25861,30056,36365,44303,43968,45216
Total Assets,67257,71383,75185,70057,82829,81892,84073,89674,98655,112550,128096,139054,145130
