Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,33177.0,35726.0,33593.0,29494.0,27588.0,26840.0,29881.0,29136.0,32703.0,42816.0,55109.0,61449.0,64229.0
Expenses,27583.0,28810.0,27292.0,27389.0,22114.0,24545.0,26811.0,22331.0,25782.0,35785.0,47381.0,50714.0,52510.0
Operating Profit,5595.0,6916.0,6301.0,2105.0,5473.0,2295.0,3070.0,6805.0,6921.0,7031.0,7728.0,10735.0,11719.0
OPM,17.0,19.0,19.0,7.0,20.0,9.0,10.0,23.0,21.0,16.0,14.0,17.0,18.0
Other Income,375.0,229.0,1056.0,4060.0,1297.0,6586.0,7186.0,2280.0,1775.0,2486.0,5540.0,3416.0,3205.0
Interest,2642.0,3440.0,3699.0,3236.0,3365.0,3761.0,4170.0,4494.0,4010.0,3859.0,4372.0,4633.0,4625.0
Depreciation,2052.0,2730.0,2174.0,1649.0,1956.0,2346.0,2393.0,2634.0,2745.0,3122.0,3439.0,3786.0,4041.0
Profit before tax,1277.0,975.0,1484.0,1281.0,1450.0,2773.0,3693.0,1958.0,1941.0,2535.0,5457.0,5732.0,6257.0
Tax,92.0,103.0,72.0,53.0,24.0,6.0,29.0,33.0,26.0,15.0,30.0,25.0,
Net Profit,123.0,12.0,457.0,786.0,1100.0,2611.0,2606.0,1316.0,1439.0,2156.0,3810.0,4280.0,4515.0
EPS in Rs,-0.32,-0.96,0.62,2.45,3.31,8.9,8.71,3.76,3.53,5.45,10.44,11.57,11.97
Dividend Payout,-319.0,-114.0,210.0,53.0,39.0,15.0,15.0,41.0,44.0,32.0,19.0,17.0,
