Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,472,472,472,481,481,481,481,481,481,481,481,481,481
Reserves,5631,5733,6083,5990,6411,7239,8490,8673,9704,9463,10529,11581,12835
Borrowings,8050,9463,9355,8515,8768,9298,9715,8908,7817,9143,10541,11632,11567
Other Liabilities,3125,3457,3722,4626,5132,5571,5865,5541,5513,5902,8320,9633,10690
Total Liabilities,17278,19126,19632,19612,20793,22589,24550,23603,23514,24988,29872,33326,35574
Fixed Assets,7758,10185,15088,15139,16804,17871,18014,17569,17326,17097,19269,21802,22724
CWIP,6163,4550,233,213,332,393,359,568,838,1297,2625,2472,2144
Investments,367,866,607,511,671,873,914,724,466,407,804,954,950
Other Assets,2990,3525,3705,3748,2986,3453,5263,4743,4885,6187,7174,8097,9756
Total Assets,17278,19126,19632,19612,20793,22589,24550,23603,23514,24988,29872,33326,35574
