Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,8181.0,8641.0,10348.0,11680.0,9960.0,11512.0,13151.0,13641.0,12173.0,14258.0,25694.0,27183.0,29238.0
Expenses,6819.0,7310.0,8246.0,8681.0,7487.0,8364.0,9934.0,10045.0,8695.0,10643.0,20906.0,22587.0,23952.0
Operating Profit,1362.0,1331.0,2103.0,2999.0,2472.0,3148.0,3217.0,3596.0,3477.0,3615.0,4789.0,4596.0,5286.0
OPM,17.0,15.0,20.0,26.0,25.0,27.0,24.0,26.0,29.0,25.0,19.0,17.0,18.0
Other Income,132.0,233.0,320.0,337.0,179.0,232.0,172.0,-862.0,130.0,-1089.0,352.0,307.0,470.0
Interest,438.0,705.0,962.0,1131.0,1058.0,848.0,899.0,955.0,776.0,628.0,818.0,943.0,1042.0
Depreciation,427.0,585.0,720.0,916.0,1006.0,1132.0,1227.0,1304.0,1280.0,1334.0,1281.0,1378.0,1463.0
Profit before tax,630.0,275.0,740.0,1290.0,587.0,1401.0,1264.0,475.0,1552.0,564.0,3041.0,2583.0,3251.0
Tax,39.0,61.0,51.0,30.0,27.0,32.0,28.0,-148.0,16.0,19.0,29.0,27.0,
Net Profit,387.0,108.0,363.0,902.0,430.0,952.0,904.0,1179.0,1296.0,459.0,2165.0,1896.0,2428.0
EPS in Rs,8.19,2.23,7.61,18.73,8.92,19.61,18.7,24.43,26.86,9.45,44.06,38.14,48.63
Dividend Payout,24.0,22.0,20.0,24.0,25.0,26.0,27.0,47.0,41.0,95.0,59.0,42.0,
