Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,24,24,24,24,24,24,24,24,24,24,24,24
Reserves,774,1221,2068,2672,3382,4229,4379,3524,2534,3510,3917,4332
Borrowings,150,145,131,125,201,156,1538,2122,2481,2997,2065,1247
Other Liabilities,1159,1403,1271,1288,1581,1829,1889,2331,2487,2819,3065,3236
Total Liabilities,2107,2793,3494,4109,5188,6238,7830,8000,7527,9351,9072,8839
Fixed Assets,848,844,950,1160,1346,1688,1878,1793,1753,2655,2771,2904
CWIP,107,48,90,30,203,101,40,117,536,105,188,89
Investments,198,518,788,487,1079,1476,2893,2781,1762,3324,2767,2865
Other Assets,954,1383,1665,2432,2560,2972,3019,3310,3475,3266,3346,2980
Total Assets,2107,2793,3494,4109,5188,6238,7830,8000,7527,9351,9072,8839
