Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,3550.0,3701.0,4380.0,4197.0,4023.0,4011.0,4433.0,4256.0,4069.0,4250.0,4668.0,4593.0,4432.0
Expenses,3001.0,3200.0,3668.0,3379.0,3222.0,3322.0,3562.0,3437.0,3286.0,3497.0,3888.0,3750.0,3632.0
Operating Profit,550.0,501.0,712.0,818.0,801.0,689.0,871.0,820.0,784.0,753.0,780.0,843.0,801.0
OPM,15.0,14.0,16.0,19.0,20.0,17.0,20.0,19.0,19.0,18.0,17.0,18.0,18.0
Other Income,54.0,56.0,53.0,428.0,60.0,57.0,52.0,48.0,57.0,31.0,46.0,62.0,63.0
Interest,34.0,42.0,54.0,38.0,35.0,53.0,53.0,31.0,26.0,29.0,35.0,45.0,31.0
Depreciation,51.0,51.0,52.0,58.0,65.0,71.0,72.0,78.0,80.0,74.0,76.0,82.0,81.0
Profit before tax,519.0,463.0,659.0,1149.0,761.0,622.0,799.0,758.0,735.0,681.0,715.0,778.0,752.0
Tax,27.0,28.0,26.0,19.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,26.0
Net Profit,378.0,336.0,491.0,932.0,558.0,455.0,586.0,556.0,537.0,505.0,532.0,582.0,559.0
EPS in Rs,15.77,14.01,20.48,38.71,23.19,19.0,24.39,23.1,22.35,20.99,22.06,24.15,23.25
Raw PDF,,,,,,,,,,,,,
