Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,174,176,176,176,176,177,177,177,177,177,177,177
Reserves,2482,3178,3995,4671,5530,5455,6429,7487,8205,8796,9689,10623
Borrowings,708,734,805,975,938,699,522,509,1030,1174,1365,950
Other Liabilities,1948,2019,1956,1910,2058,2106,2209,2661,2872,3505,3885,4481
Total Liabilities,5312,6106,6932,7732,8702,8437,9337,10833,12284,13652,15116,16232
Fixed Assets,1767,1877,1667,1958,2028,1969,2253,2243,2308,3579,3815,3992
CWIP,22,50,45,42,42,64,147,147,168,175,232,166
Investments,1076,1813,2691,3240,3805,3359,2800,4160,6220,6265,6933,7468
Other Assets,2447,2365,2529,2492,2827,3045,4137,4283,3589,3633,4136,4606
Total Assets,5312,6106,6932,7732,8702,8437,9337,10833,12284,13652,15116,16232
