Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,7058.0,7795.0,7780.0,7614.0,7722.0,8515.0,8685.0,9562.0,10889.0,11530.0,12404.0,12563.0
Expenses,5897.0,6475.0,6261.0,6102.0,6104.0,6775.0,6892.0,7560.0,8637.0,9367.0,10004.0,10247.0
Operating Profit,1162.0,1320.0,1518.0,1512.0,1617.0,1740.0,1792.0,2002.0,2252.0,2162.0,2400.0,2316.0
OPM,16.0,17.0,20.0,20.0,21.0,20.0,21.0,21.0,21.0,19.0,19.0,18.0
Other Income,126.0,154.0,217.0,296.0,291.0,222.0,205.0,325.0,308.0,445.0,482.0,551.0
Interest,54.0,40.0,48.0,54.0,53.0,60.0,50.0,31.0,39.0,78.0,124.0,164.0
Depreciation,97.0,115.0,133.0,143.0,162.0,177.0,220.0,240.0,253.0,311.0,399.0,446.0
Profit before tax,1136.0,1319.0,1554.0,1611.0,1693.0,1725.0,1728.0,2056.0,2269.0,2219.0,2359.0,2258.0
Tax,19.0,19.0,19.0,21.0,20.0,16.0,16.0,18.0,23.0,23.0,23.0,23.0
Net Profit,916.0,1068.0,1254.0,1280.0,1358.0,1446.0,1448.0,1695.0,1742.0,1701.0,1811.0,1740.0
EPS in Rs,5.24,6.07,7.11,7.25,7.69,8.17,8.18,9.58,9.84,9.64,10.4,9.97
Dividend Payout,33.0,33.0,32.0,31.0,81.0,34.0,37.0,50.0,53.0,54.0,53.0,80.0
