Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,971.0,770.0,773.0,814.0,983.0,836.0,826.0,865.0,996.0,891.0,906.0,891.0,1049.0
Expenses,633.0,612.0,604.0,621.0,689.0,636.0,636.0,632.0,682.0,682.0,692.0,645.0,715.0
Operating Profit,338.0,158.0,169.0,193.0,294.0,199.0,190.0,233.0,314.0,209.0,214.0,246.0,334.0
OPM,35.0,21.0,22.0,24.0,30.0,24.0,23.0,27.0,32.0,24.0,24.0,28.0,32.0
Other Income,17.0,25.0,6.0,42.0,7.0,14.0,8.0,11.0,11.0,11.0,10.0,22.0,15.0
Interest,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
Depreciation,84.0,83.0,88.0,48.0,47.0,64.0,46.0,46.0,46.0,48.0,44.0,45.0,46.0
Profit before tax,269.0,98.0,85.0,186.0,251.0,148.0,150.0,196.0,276.0,169.0,178.0,220.0,301.0
Tax,18.0,-262.0,14.0,3.0,7.0,4.0,9.0,8.0,6.0,13.0,16.0,4.0,7.0
Net Profit,220.0,354.0,73.0,180.0,233.0,142.0,137.0,180.0,261.0,147.0,151.0,211.0,279.0
EPS in Rs,4.95,8.07,1.67,4.17,5.38,3.27,3.14,4.09,5.92,3.41,3.5,4.87,6.39
Raw PDF,,,,,,,,,,,,,
