Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,34,34,34,34,68,102,102,102,102,102,102,102
Reserves,3741,4277,4233,5268,6190,7165,7796,9337,11454,13692,12496,11902
Borrowings,2373,2717,2891,4001,3508,3382,3575,1864,1704,1130,3222,4004
Other Liabilities,2171,2097,2521,3637,4098,3445,3407,2941,2822,2513,2571,3663
Total Liabilities,8320,9125,9679,12940,13864,14094,14880,14244,16082,17437,18392,19672
Fixed Assets,5121,5551,5931,8083,8315,8670,9231,8905,9219,9934,10440,10682
CWIP,167,225,44,97,84,52,57,57,116,45,83,458
Investments,136,186,190,934,997,516,672,679,1015,3029,3504,3645
Other Assets,2895,3164,3514,3826,4468,4855,4920,4602,5731,4429,4365,4887
Total Assets,8320,9125,9679,12940,13864,14094,14880,14244,16082,17437,18392,19672
