Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,2916.0,3125.0,3392.0,3599.0,3200.0,3449.0,3602.0,3660.0,3386.0,3332.0,3666.0,3768.0,3598.0
Expenses,2453.0,2604.0,2850.0,2872.0,2559.0,2806.0,2898.0,2819.0,2630.0,2607.0,2907.0,3012.0,2839.0
Operating Profit,463.0,521.0,542.0,727.0,641.0,643.0,704.0,841.0,756.0,724.0,760.0,756.0,759.0
OPM,16.0,17.0,16.0,20.0,20.0,19.0,20.0,23.0,22.0,22.0,21.0,20.0,21.0
Other Income,3.0,26.0,17.0,36.0,36.0,-13.0,53.0,63.0,-2312.0,57.0,80.0,77.0,42.0
Interest,33.0,35.0,48.0,40.0,53.0,74.0,77.0,67.0,78.0,88.0,83.0,90.0,90.0
Depreciation,50.0,57.0,53.0,57.0,69.0,76.0,61.0,54.0,50.0,49.0,50.0,62.0,73.0
Profit before tax,384.0,454.0,458.0,665.0,556.0,480.0,619.0,783.0,-1684.0,644.0,707.0,682.0,639.0
Tax,5.0,24.0,22.0,18.0,19.0,34.0,30.0,26.0,12.0,30.0,30.0,27.0,36.0
Net Profit,363.0,345.0,359.0,546.0,452.0,319.0,433.0,581.0,-1893.0,451.0,491.0,498.0,412.0
EPS in Rs,3.55,3.37,3.51,5.34,4.42,3.12,4.23,5.68,-18.51,4.41,4.8,4.87,4.03
Raw PDF,,,,,,,,,,,,,
