Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,216,216,216,216,216,216,216,235,235,235,235,235
Reserves,3321,3811,6357,6528,7065,7651,8013,47439,48826,50069,50983,49167
Borrowings,46,43,177,277,0,99,0,0,1043,1219,1484,1648
Other Liabilities,10171,10359,8043,8685,10581,10663,11924,21066,20402,21554,25787,28830
Total Liabilities,13754,14430,14793,15706,17862,18629,20153,68740,70506,73077,78489,79880
Fixed Assets,2746,2821,3258,4419,4528,4715,5479,51443,51473,52678,53744,54335
CWIP,373,516,408,229,461,406,597,745,1313,1132,1025,1009
Investments,2838,3025,2592,3794,2873,2716,1255,2709,3521,2882,4625,3810
Other Assets,7797,8067,8535,7264,10000,10792,12822,13843,14199,16385,19095,20726
Total Assets,13754,14430,14793,15706,17862,18629,20153,68740,70506,73077,78489,79880
