Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,790,795,802,805,1215,1220,1226,1229,1231,1232,1243,1248,1251
Reserves,22368,26442,30934,41875,45198,51290,57915,64044,59116,61223,67912,73259,74015
Borrowings,102,242,269,84,46,36,13,277,271,249,306,303,304
Other Liabilities,12069,13369,13948,8888,9440,11695,12585,11760,13143,14491,16370,16944,18501
Total Liabilities,35329,40848,45952,51651,55898,64241,71739,77311,73761,77196,85831,91754,94071
Fixed Assets,12140,12921,15303,15107,15893,16524,19374,21713,23298,24232,25851,27820,29492
CWIP,2062,3117,2700,2560,3730,5508,4136,3256,4011,3226,3003,2861,1387
Investments,5981,7284,6943,11748,17581,22053,25043,28663,24871,24841,29415,31114,28409
Other Assets,15146,17526,21006,22237,18694,20156,23185,23678,21580,24898,27561,29959,34784
Total Assets,35329,40848,45952,51651,55898,64241,71739,77311,73761,77196,85831,91754,94071
