Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,17108.0,16556.0,18489.0,17108.0,17705.0,17635.0,17164.0,17774.0,17195.0,17923.0,18457.0,19990.0,18790.0
Expenses,11510.0,10956.0,12412.0,10849.0,11000.0,11011.0,10494.0,11320.0,10985.0,11296.0,11709.0,13438.0,12428.0
Operating Profit,5598.0,5599.0,6077.0,6259.0,6705.0,6624.0,6670.0,6454.0,6210.0,6626.0,6748.0,6552.0,6362.0
OPM,33.0,34.0,33.0,37.0,38.0,38.0,39.0,36.0,36.0,37.0,37.0,33.0,34.0
Other Income,422.0,499.0,321.0,455.0,595.0,683.0,722.0,674.0,820.0,682.0,699.0,690.0,803.0
Interest,10.0,11.0,9.0,13.0,9.0,12.0,10.0,10.0,12.0,13.0,11.0,15.0,10.0
Depreciation,430.0,467.0,438.0,462.0,447.0,461.0,442.0,453.0,384.0,461.0,499.0,416.0,416.0
Profit before tax,5580.0,5620.0,5950.0,6239.0,6844.0,6833.0,6940.0,6665.0,6635.0,6834.0,6938.0,6811.0,6740.0
Tax,26.0,24.0,25.0,25.0,26.0,24.0,25.0,26.0,19.0,24.0,25.0,26.0,26.0
Net Profit,4127.0,4266.0,4472.0,4682.0,5080.0,5243.0,5190.0,4965.0,5407.0,5191.0,5177.0,5054.0,5013.0
EPS in Rs,3.29,3.4,3.56,3.73,4.03,4.16,4.1,3.93,4.28,4.1,4.08,3.99,3.94
Raw PDF,,,,,,,,,,,,,
