Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,64,64,129,129,129,129,129,129,129,129,129,129
Reserves,1296,1760,1888,2197,2414,2846,2894,3111,3219,3670,3703,3846
Borrowings,680,428,331,239,312,352,338,511,479,608,528,554
Other Liabilities,925,873,1010,1059,1217,1569,1603,1675,1850,2393,2993,3809
Total Liabilities,2965,3125,3358,3623,4072,4896,4964,5426,5677,6800,7353,8338
Fixed Assets,888,1076,1050,1085,1110,1300,1396,1612,1760,2246,2724,2758
CWIP,4,3,37,11,27,45,58,24,39,67,44,40
Investments,311,284,544,608,543,450,733,854,828,1096,602,1590
Other Assets,1762,1763,1727,1919,2392,3101,2777,2936,3050,3391,3983,3950
Total Assets,2965,3125,3358,3623,4072,4896,4964,5426,5677,6800,7353,8338
