Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,4687.0,5733.0,6017.0,5918.0,6322.0,7334.0,7315.0,8048.0,9512.0,9764.0,9653.0,10831.0
Expenses,3939.0,4863.0,4966.0,4759.0,5185.0,6009.0,5846.0,6459.0,7831.0,7954.0,7627.0,8692.0
Operating Profit,748.0,870.0,1051.0,1159.0,1137.0,1325.0,1469.0,1589.0,1681.0,1810.0,2026.0,2139.0
OPM,16.0,15.0,17.0,20.0,18.0,18.0,20.0,20.0,18.0,19.0,21.0,20.0
Other Income,58.0,59.0,93.0,96.0,85.0,103.0,95.0,107.0,98.0,144.0,142.0,208.0
Interest,34.0,23.0,21.0,17.0,16.0,40.0,50.0,34.0,39.0,56.0,73.0,53.0
Depreciation,77.0,84.0,95.0,90.0,89.0,131.0,140.0,139.0,139.0,155.0,158.0,178.0
Profit before tax,695.0,822.0,1029.0,1149.0,1117.0,1257.0,1374.0,1523.0,1601.0,1743.0,1937.0,2116.0
Tax,27.0,29.0,30.0,29.0,26.0,10.0,24.0,21.0,22.0,24.0,22.0,22.0
Net Profit,504.0,585.0,723.0,811.0,827.0,1131.0,1043.0,1199.0,1255.0,1322.0,1502.0,1658.0
EPS in Rs,3.76,4.45,5.51,6.19,6.31,8.63,7.91,9.08,9.48,10.07,11.44,12.57
Dividend Payout,46.0,28.0,77.0,57.0,67.0,55.0,85.0,83.0,97.0,45.0,83.0,83.0
