Financial_Metric,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,4600.0,4814.0,5104.0,4780.0,5504.0
Expenses,3505.0,3700.0,3940.0,3685.0,4127.0
Operating Profit,1095.0,1114.0,1164.0,1095.0,1377.0
OPM,24.0,23.0,23.0,23.0,25.0
Other Income,-77.0,39.0,190.0,4.0,8.0
Interest,23.0,32.0,32.0,35.0,38.0
Depreciation,109.0,113.0,122.0,150.0,155.0
Profit before tax,886.0,1009.0,1200.0,914.0,1192.0
Tax,26.0,26.0,25.0,25.0,27.0
Net Profit,656.0,747.0,899.0,688.0,873.0
EPS in Rs,6.8,7.74,9.33,7.14,9.06
Raw PDF,,,,,
