Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,7738.0,7993.0,6637.0,6780.0,6815.0,7252.0,9637.0,11602.0,12425.0,13783.0,15206.0,17618.0
Expenses,6986.0,7201.0,6271.0,5988.0,5976.0,6466.0,8345.0,10058.0,10707.0,11927.0,12922.0,15139.0
Operating Profit,752.0,792.0,366.0,791.0,839.0,786.0,1292.0,1544.0,1719.0,1856.0,2284.0,2479.0
OPM,10.0,10.0,6.0,12.0,12.0,11.0,13.0,13.0,14.0,13.0,15.0,14.0
Other Income,170.0,-77.0,38.0,88.0,73.0,124.0,-163.0,91.0,88.0,328.0,-81.0,188.0
Interest,87.0,82.0,117.0,92.0,43.0,52.0,78.0,69.0,73.0,87.0,130.0,290.0
Depreciation,129.0,133.0,117.0,126.0,116.0,123.0,242.0,255.0,278.0,304.0,377.0,601.0
Profit before tax,707.0,500.0,170.0,662.0,753.0,735.0,809.0,1311.0,1456.0,1794.0,1696.0,1777.0
Tax,26.0,43.0,118.0,30.0,25.0,36.0,34.0,24.0,26.0,25.0,23.0,22.0
Net Profit,510.0,273.0,-37.0,455.0,556.0,457.0,460.0,930.0,1015.0,1320.0,1215.0,1287.0
EPS in Rs,7.48,3.86,-0.08,5.94,7.56,6.23,4.8,8.95,9.78,12.48,11.63,12.92
Dividend Payout,29.0,6.0,-2572.0,38.0,30.0,39.0,54.0,44.0,60.0,65.0,64.0,64.0
