Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,3175.0,3327.0,3363.0,3475.0,3619.0,3741.0,3734.0,3804.0,3927.0,4352.0,4214.0,4444.0,4608.0
Expenses,2731.0,2870.0,2929.0,3021.0,3107.0,3196.0,3197.0,3232.0,3297.0,3685.0,3588.0,3879.0,3987.0
Operating Profit,444.0,457.0,434.0,454.0,512.0,545.0,537.0,572.0,630.0,667.0,626.0,565.0,621.0
OPM,14.0,14.0,13.0,13.0,14.0,15.0,14.0,15.0,16.0,15.0,15.0,13.0,13.0
Other Income,29.0,11.0,141.0,128.0,49.0,53.0,75.0,-32.0,-177.0,22.0,19.0,45.0,102.0
Interest,16.0,16.0,20.0,24.0,28.0,26.0,28.0,33.0,43.0,94.0,99.0,58.0,40.0
Depreciation,72.0,73.0,73.0,75.0,83.0,82.0,94.0,86.0,116.0,148.0,149.0,150.0,153.0
Profit before tax,385.0,379.0,482.0,482.0,450.0,489.0,491.0,422.0,294.0,448.0,397.0,402.0,530.0
Tax,25.0,27.0,26.0,23.0,23.0,27.0,27.0,25.0,9.0,30.0,10.0,25.0,23.0
Net Profit,239.0,277.0,389.0,364.0,290.0,338.0,364.0,302.0,212.0,289.0,367.0,282.0,349.0
EPS in Rs,2.27,2.67,3.43,3.65,2.78,3.28,3.51,2.89,2.19,2.93,3.68,2.82,3.49
Raw PDF,,,,,,,,,,,,,
