Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,22597.0,23464.0,24686.0,26700.0,26606.0,26296.0,26672.0,28446.0,28499.0,28057.0,28862.0,29890.0,30246.0
Expenses,17545.0,18489.0,19261.0,20335.0,20743.0,20931.0,20743.0,21659.0,22382.0,22264.0,22493.0,23030.0,23764.0
Operating Profit,5052.0,4975.0,5425.0,6365.0,5863.0,5365.0,5929.0,6787.0,6117.0,5793.0,6369.0,6860.0,6482.0
OPM,22.0,21.0,22.0,24.0,22.0,20.0,22.0,24.0,21.0,21.0,22.0,23.0,21.0
Other Income,317.0,409.0,236.0,260.0,453.0,344.0,365.0,370.0,416.0,1103.0,456.0,477.0,449.0
Interest,65.0,64.0,79.0,116.0,94.0,86.0,156.0,140.0,171.0,191.0,131.0,166.0,156.0
Depreciation,984.0,983.0,998.0,1137.0,1027.0,927.0,1010.0,1143.0,1093.0,998.0,1007.0,1039.0,1040.0
Profit before tax,4320.0,4337.0,4584.0,5372.0,5195.0,4696.0,5128.0,5874.0,5269.0,5707.0,5687.0,6132.0,5735.0
Tax,17.0,24.0,24.0,24.0,23.0,25.0,25.0,26.0,24.0,25.0,26.0,25.0,25.0
Net Profit,3599.0,3281.0,3487.0,4096.0,3981.0,3531.0,3833.0,4351.0,3995.0,4259.0,4237.0,4594.0,4309.0
EPS in Rs,13.24,12.1,12.86,15.09,14.68,13.02,14.12,16.03,14.69,15.69,15.61,16.92,15.88
Raw PDF,,,,,,,,,,,,,
