Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,16,16,17,17,17,17,17,18,30,30,30,30
Reserves,1594,2010,2108,3127,3843,4876,5387,7286,14258,16562,19988,22669
Borrowings,110,218,55,0,0,0,912,798,258,1541,2071,2187
Other Liabilities,945,734,958,1273,1477,1770,2499,2604,6027,5348,5456,5712
Total Liabilities,2666,2978,3137,4417,5337,6664,8815,10706,20572,23481,27544,30598
Fixed Assets,649,683,638,542,681,930,1920,1906,3473,3679,4981,5285
CWIP,57,25,20,1,7,12,59,66,503,902,551,681
Investments,169,104,43,941,1264,1740,2219,3730,6048,5458,8744,9845
Other Assets,1791,2166,2437,2934,3385,3982,4617,5004,10548,13442,13269,14787
Total Assets,2666,2978,3137,4417,5337,6664,8815,10706,20572,23481,27544,30598
