Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,4302.0,7644.0,8228.0,8620.0,8691.0,8702.0,8905.0,9017.0,8893.0,9143.0,9433.0,9661.0,9772.0
Expenses,3455.0,6151.0,6592.0,7245.0,7087.0,7067.0,7274.0,7432.0,7357.0,7536.0,7734.0,8068.0,8176.0
Operating Profit,846.0,1494.0,1636.0,1375.0,1604.0,1636.0,1631.0,1585.0,1536.0,1606.0,1699.0,1593.0,1596.0
OPM,20.0,20.0,20.0,16.0,18.0,19.0,18.0,18.0,17.0,18.0,18.0,16.0,16.0
Other Income,134.0,178.0,161.0,152.0,66.0,132.0,143.0,220.0,208.0,227.0,299.0,212.0,251.0
Interest,19.0,31.0,38.0,38.0,44.0,46.0,47.0,61.0,68.0,72.0,70.0,69.0,67.0
Depreciation,102.0,166.0,196.0,178.0,182.0,185.0,208.0,199.0,227.0,235.0,241.0,264.0,251.0
Profit before tax,860.0,1474.0,1563.0,1311.0,1444.0,1536.0,1519.0,1545.0,1448.0,1526.0,1687.0,1472.0,1529.0
Tax,26.0,25.0,24.0,24.0,23.0,25.0,24.0,24.0,24.0,26.0,26.0,26.0,26.0
Net Profit,638.0,1106.0,1189.0,1001.0,1114.0,1152.0,1162.0,1169.0,1101.0,1135.0,1252.0,1087.0,1129.0
EPS in Rs,36.34,63.06,40.18,33.82,37.65,38.92,39.26,39.49,37.14,38.28,42.24,36.63,38.09
Raw PDF,,,,,,,,,,,,,
