Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,210,210,210,210,193,186,187,187,188,188,189,190
Reserves,4905,5270,5645,5942,5289,5064,5643,6340,6755,7746,8606,9438
Borrowings,540,575,461,260,390,543,571,513,527,198,1544,1888
Other Liabilities,1320,1312,1092,889,1109,1576,2339,2324,3214,3373,3662,3390
Total Liabilities,6974,7367,7408,7301,6980,7368,8740,9365,10684,11506,14000,14907
Fixed Assets,2404,2334,1597,1921,1884,2170,3013,3020,3774,4060,5533,5781
CWIP,6,20,56,1,2,3,17,3,11,32,61,0
Investments,1815,1443,2122,2396,1782,1329,1326,1846,1813,1753,3090,2208
Other Assets,2748,3569,3633,2983,3312,3866,4384,4496,5087,5662,5316,6917
Total Assets,6974,7367,7408,7301,6980,7368,8740,9365,10684,11506,14000,14907
