Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,3278.0,3411.0,3520.0,3506.0,3361.0,3252.0,3276.0,3338.0,3412.0,3422.0,3536.0,3561.0,3710.0
Expenses,2701.0,2811.0,2902.0,2889.0,2763.0,2665.0,2681.0,2737.0,2773.0,2804.0,2888.0,2883.0,3007.0
Operating Profit,577.0,600.0,618.0,618.0,599.0,587.0,596.0,601.0,639.0,619.0,648.0,678.0,703.0
OPM,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,19.0,19.0
Other Income,39.0,36.0,43.0,40.0,43.0,50.0,49.0,54.0,64.0,74.0,59.0,63.0,60.0
Interest,21.0,23.0,26.0,24.0,24.0,24.0,34.0,53.0,50.0,50.0,40.0,39.0,36.0
Depreciation,80.0,80.0,80.0,82.0,83.0,87.0,89.0,103.0,131.0,105.0,104.0,132.0,135.0
Profit before tax,516.0,533.0,555.0,551.0,534.0,526.0,522.0,499.0,522.0,537.0,563.0,569.0,591.0
Tax,24.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0
Net Profit,392.0,402.0,418.0,412.0,405.0,396.0,392.0,374.0,393.0,405.0,423.0,428.0,446.0
EPS in Rs,20.88,21.37,22.24,21.89,21.51,21.01,20.78,19.79,20.81,21.39,22.37,22.56,23.49
Raw PDF,,,,,,,,,,,,,
