Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,40,80,80,80,80,79,76,76,76,76,77,78
Reserves,1182,1326,1578,1819,2047,2266,2309,2719,3292,3889,4881,6241
Borrowings,3,4,3,3,2,2,71,98,578,658,451,311
Other Liabilities,318,365,459,433,514,509,635,771,1473,2050,1963,2107
Total Liabilities,1543,1775,2120,2335,2644,2856,3092,3666,5419,6673,7372,8737
Fixed Assets,408,408,437,536,512,401,432,457,1534,2341,2221,2614
CWIP,31,4,27,29,5,32,30,12,107,16,34,4
Investments,489,674,638,684,880,764,979,1000,822,640,827,980
Other Assets,615,689,1018,1086,1247,1659,1652,2197,2956,3676,4290,5138
Total Assets,1543,1775,2120,2335,2644,2856,3092,3666,5419,6673,7372,8737
