Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,1638.0,1878.0,2049.0,2169.0,2254.0,2321.0,2412.0,2498.0,2591.0,2737.0,2897.0,3062.0,3242.0
Expenses,1357.0,1545.0,1681.0,1768.0,1838.0,1947.0,2007.0,2056.0,2136.0,2282.0,2416.0,2524.0,2658.0
Operating Profit,281.0,333.0,368.0,402.0,416.0,374.0,405.0,442.0,454.0,455.0,481.0,538.0,584.0
OPM,17.0,18.0,18.0,19.0,18.0,16.0,17.0,18.0,18.0,17.0,17.0,18.0,18.0
Other Income,42.0,21.0,8.0,3.0,9.0,22.0,37.0,38.0,31.0,31.0,47.0,43.0,18.0
Interest,5.0,8.0,11.0,14.0,15.0,13.0,12.0,12.0,10.0,14.0,18.0,16.0,18.0
Depreciation,51.0,65.0,69.0,68.0,70.0,76.0,74.0,79.0,80.0,71.0,74.0,82.0,79.0
Profit before tax,267.0,282.0,296.0,323.0,341.0,307.0,356.0,389.0,395.0,401.0,435.0,482.0,505.0
Tax,25.0,25.0,26.0,26.0,26.0,25.0,26.0,26.0,20.0,24.0,25.0,23.0,22.0
Net Profit,201.0,212.0,220.0,238.0,252.0,229.0,263.0,286.0,315.0,306.0,325.0,373.0,396.0
EPS in Rs,13.15,13.84,14.39,15.56,16.45,14.86,17.11,18.59,20.47,19.89,21.02,24.12,25.59
Raw PDF,,,,,,,,,,,,,
