Financial_Metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales,402.0,419.0,388.0,416.0,539.0,622.0,775.0,849.0
Expenses,327.0,338.0,320.0,368.0,464.0,549.0,637.0,671.0
Operating Profit,75.0,82.0,68.0,48.0,75.0,73.0,137.0,178.0
OPM,19.0,20.0,18.0,11.0,14.0,12.0,18.0,21.0
Other Income,2.0,0.0,1.0,4.0,4.0,-11.0,12.0,3.0
Interest,2.0,4.0,2.0,2.0,3.0,5.0,3.0,1.0
Depreciation,13.0,16.0,17.0,17.0,21.0,24.0,35.0,26.0
Profit before tax,62.0,62.0,51.0,32.0,55.0,33.0,112.0,155.0
Tax,14.0,6.0,4.0,-2.0,30.0,33.0,36.0,34.0
Net Profit,53.0,58.0,49.0,33.0,35.0,21.0,72.0,102.0
EPS in Rs,8.48,9.34,7.84,5.22,5.55,3.42,11.6,16.38
Dividend Payout,41.0,37.0,45.0,67.0,63.0,73.0,39.0,34.0
