Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,196,196,197,197,191,375,375,370,366,366,362,362
Reserves,48999,50439,70875,86017,84937,89071,83751,86063,88773,90058,90127,94394
Borrowings,297,358,245,289,247,62,8174,7795,7818,7688,8021,9392
Other Liabilities,17337,22325,16974,15830,19751,24393,27827,35764,43967,44747,46962,54501
Total Liabilities,66829,73318,88291,102333,105126,113901,120127,129992,140924,142859,145472,158649
Fixed Assets,9544,11638,11774,11701,11973,12290,20928,21021,21298,20515,19604,23053
CWIP,3168,2766,1670,1541,1278,963,906,926,1205,1234,1564,1546
Investments,3434,1662,22822,41980,36008,29330,26356,29373,30485,37163,31762,30964
Other Assets,50682,57252,52025,47111,55867,71318,71937,78672,87936,83947,92542,103086
Total Assets,66829,73318,88291,102333,105126,113901,120127,129992,140924,142859,145472,158649
