Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,18802.0,22621.0,26494.0,29141.0,30773.0,34742.0,36868.0,37855.0,44646.0,53290.0,51996.0,52988.0
Expenses,14630.0,18428.0,22234.0,24956.0,26063.0,28471.0,31365.0,31059.0,36626.0,45527.0,47489.0,46024.0
Operating Profit,4172.0,4193.0,4260.0,4184.0,4710.0,6271.0,5503.0,6796.0,8020.0,7763.0,4506.0,6964.0
OPM,22.0,19.0,16.0,14.0,15.0,18.0,15.0,18.0,18.0,15.0,9.0,13.0
Other Income,244.0,106.0,453.0,775.0,1417.0,534.0,1192.0,788.0,1115.0,965.0,927.0,864.0
Interest,80.0,69.0,97.0,129.0,162.0,133.0,192.0,174.0,163.0,326.0,392.0,322.0
Depreciation,522.0,611.0,759.0,978.0,1085.0,1129.0,1446.0,1458.0,1520.0,1957.0,1817.0,1853.0
Profit before tax,3815.0,3618.0,3857.0,3853.0,4879.0,5543.0,5058.0,5953.0,7452.0,6446.0,3224.0,5653.0
Tax,20.0,27.0,22.0,26.0,22.0,23.0,23.0,27.0,24.0,25.0,26.0,25.0
Net Profit,3062.0,2659.0,3027.0,2851.0,3786.0,4289.0,3897.0,4353.0,5630.0,4857.0,2397.0,4253.0
EPS in Rs,32.44,27.35,30.92,28.88,38.78,43.7,41.76,45.73,57.27,49.6,24.14,43.43
Dividend Payout,15.0,22.0,35.0,28.0,33.0,29.0,32.0,89.0,47.0,91.0,150.0,94.0
