Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,12116.0,12708.0,13130.0,13735.0,13718.0,13159.0,12864.0,13101.0,12871.0,13006.0,13313.0,13286.0,13384.0
Expenses,10028.0,10828.0,11185.0,11600.0,11915.0,11821.0,11950.0,11955.0,11772.0,11441.0,11563.0,11477.0,11545.0
Operating Profit,2088.0,1880.0,1944.0,2135.0,1803.0,1338.0,914.0,1146.0,1099.0,1564.0,1750.0,1809.0,1839.0
OPM,17.0,15.0,15.0,16.0,13.0,10.0,7.0,9.0,9.0,12.0,13.0,14.0,14.0
Other Income,324.0,122.0,290.0,247.0,306.0,200.0,264.0,92.0,380.0,147.0,522.0,23.0,173.0
Interest,55.0,40.0,79.0,113.0,93.0,120.0,98.0,116.0,58.0,72.0,89.0,76.0,85.0
Depreciation,484.0,477.0,492.0,498.0,490.0,447.0,466.0,443.0,461.0,462.0,470.0,459.0,462.0
Profit before tax,1873.0,1486.0,1664.0,1771.0,1525.0,971.0,615.0,679.0,959.0,1178.0,1714.0,1297.0,1464.0
Tax,18.0,23.0,22.0,27.0,26.0,28.0,18.0,23.0,31.0,27.0,27.0,24.0,22.0
Net Profit,1545.0,1148.0,1299.0,1285.0,1125.0,704.0,505.0,524.0,664.0,865.0,1258.0,989.0,1142.0
EPS in Rs,15.49,11.64,13.21,13.32,11.47,7.1,5.06,5.23,6.77,8.71,12.78,10.05,11.92
Raw PDF,,,,,,,,,,,,,
