Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,493,494,494,486,905,1207,1143,1096,1096,1098,1045,2094
Reserves,31636,36598,45651,51184,47022,55216,54179,53805,64307,76570,73488,80270
Borrowings,5159,7891,12522,14241,13901,9947,9724,10451,17593,17467,16465,19204
Other Liabilities,12245,13367,12924,12761,13563,16217,15954,17213,24280,21789,23611,26618
Total Liabilities,49533,58350,71590,78672,75391,82586,81000,82566,107276,116924,114609,128185
Fixed Assets,10649,10837,17279,19886,18127,17465,22062,23040,37990,44757,43628,45187
CWIP,369,395,381,738,1378,2142,1881,1853,1602,617,723,196
Investments,6146,5532,20915,29913,25797,22887,20032,18775,26154,33073,33384,43926
Other Assets,32368,41586,33016,28135,30090,40093,37024,38898,41531,38477,36873,38876
Total Assets,49533,58350,71590,78672,75391,82586,81000,82566,107276,116924,114609,128185
