Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,110,110,110,110,110,110,110,110,110,114,114,115
Reserves,23647,25618,13268,14026,14979,14646,16837,17049,22147,32937,38962,50199
Borrowings,71980,83571,19169,20846,17637,11243,12419,16227,41604,53200,65310,91819
Other Liabilities,22365,21420,9132,12630,23679,16537,17509,18231,37726,55027,56200,56002
Total Liabilities,118102,130718,41679,47611,56405,42536,46875,51617,101586,141278,160586,198136
Fixed Assets,70579,83834,10473,13668,10555,9020,10476,10838,30123,56881,65978,96919
CWIP,13574,6733,7705,7731,5526,5765,7347,8825,23544,24025,35180,31857
Investments,288,744,805,1042,1461,1511,1952,5503,4292,6310,8701,9887
Other Assets,33661,39407,22696,25170,38864,26240,27099,26451,43627,54062,50728,59473
Total Assets,118102,130718,41679,47611,56405,42536,46875,51617,101586,141278,160586,198136
