Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,24866.0,40844.0,38175.0,26612.0,28944.0,22644.0,19546.0,25050.0,29180.0,25472.0,22608.0,22848.0,26966.0
Expenses,23603.0,39102.0,36306.0,24983.0,25337.0,20119.0,17116.0,21824.0,25985.0,21767.0,18842.0,19778.0,23256.0
Operating Profit,1262.0,1742.0,1869.0,1629.0,3607.0,2525.0,2430.0,3226.0,3195.0,3706.0,3766.0,3070.0,3710.0
OPM,5.0,4.0,5.0,6.0,12.0,11.0,12.0,13.0,11.0,15.0,17.0,13.0,14.0
Other Income,276.0,222.0,266.0,339.0,-15.0,370.0,461.0,491.0,-176.0,591.0,583.0,648.0,4582.0
Interest,622.0,915.0,934.0,596.0,1525.0,1103.0,1343.0,597.0,1513.0,1130.0,910.0,2141.0,1796.0
Depreciation,449.0,417.0,531.0,592.0,895.0,714.0,757.0,760.0,811.0,934.0,1035.0,1006.0,1236.0
Profit before tax,468.0,632.0,670.0,780.0,1172.0,1079.0,791.0,2361.0,696.0,2232.0,2403.0,572.0,5259.0
Tax,46.0,35.0,35.0,18.0,38.0,33.0,50.0,19.0,62.0,26.0,21.0,103.0,24.0
Net Profit,326.0,469.0,432.0,740.0,781.0,677.0,333.0,1973.0,352.0,1772.0,1989.0,229.0,4015.0
EPS in Rs,2.77,4.12,4.04,7.19,6.34,5.91,2.0,16.57,3.95,12.76,15.28,0.5,33.31
Raw PDF,,,,,,,,,,,,,
