Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,3687.0,3732.0,3849.0,5128.0,5846.0,5694.0,6707.0,6852.0,5299.0,5804.0,6402.0,7409.0,7525.0
Expenses,2048.0,1973.0,1631.0,2461.0,2789.0,3005.0,3763.0,3887.0,2947.0,3229.0,3271.0,4387.0,4300.0
Operating Profit,1639.0,1759.0,2218.0,2667.0,3057.0,2689.0,2944.0,2965.0,2352.0,2575.0,3130.0,3022.0,3225.0
OPM,44.0,47.0,58.0,52.0,52.0,47.0,44.0,43.0,44.0,44.0,49.0,41.0,43.0
Other Income,133.0,120.0,113.0,127.0,123.0,295.0,196.0,252.0,189.0,552.0,300.0,793.0,6597.0
Interest,624.0,760.0,937.0,1070.0,1342.0,976.0,1126.0,1574.0,1697.0,1894.0,1521.0,1868.0,1949.0
Depreciation,442.0,477.0,707.0,853.0,855.0,544.0,540.0,468.0,582.0,683.0,832.0,995.0,1026.0
Profit before tax,707.0,642.0,686.0,870.0,984.0,1464.0,1473.0,1175.0,262.0,550.0,1077.0,951.0,6848.0
Tax,22.0,28.0,21.0,26.0,27.0,37.0,42.0,39.0,55.0,34.0,33.0,36.0,
Net Profit,554.0,460.0,542.0,640.0,715.0,920.0,850.0,721.0,117.0,361.0,720.0,606.0,6455.0
EPS in Rs,1.67,1.38,1.54,1.82,2.04,2.62,2.42,2.05,0.33,0.6,1.19,1.0,10.69
Dividend Payout,24.0,29.0,26.0,22.0,25.0,19.0,10.0,24.0,0.0,0.0,17.0,30.0,
