Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,185,186,186,187,280,281,281,281,281,281,275,275
Reserves,37526,40723,43994,50030,54623,62094,66442,75588,82127,89045,86084,97381
Borrowings,80846,93630,88135,93954,107524,125555,143174,134629,125508,120650,116322,132409
Other Liabilities,50324,58727,61775,67400,80812,90106,96790,99597,111112,119745,136412,149460
Total Liabilities,168881,193266,194091,211571,243240,278036,306687,310095,319028,329722,339094,379524
Fixed Assets,32397,34738,14176,16677,18580,21194,43653,44319,42945,42641,42964,44253
CWIP,14179,14993,10974,13298,13443,13919,3311,500,1250,3066,3045,2391
Investments,8109,9612,15465,19753,15311,20907,20047,39627,39395,44798,45648,54805
Other Assets,114197,133923,153475,161843,195905,222016,239675,225649,235438,239217,247437,278075
Total Assets,168881,193266,194091,211571,243240,278036,306687,310095,319028,329722,339094,379524
