Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,85054.0,91929.0,101122.0,109312.0,119683.0,135220.0,145452.0,135979.0,156521.0,183341.0,221113.0,255734.0
Expenses,70968.0,76245.0,85637.0,92691.0,99572.0,112354.0,120899.0,112519.0,132207.0,156175.0,191248.0,222997.0
Operating Profit,14086.0,15684.0,15486.0,16620.0,20111.0,22866.0,24553.0,23460.0,24314.0,27166.0,29865.0,32737.0
OPM,17.0,17.0,15.0,15.0,17.0,17.0,17.0,17.0,16.0,15.0,14.0,13.0
Other Income,1337.0,1422.0,1219.0,1466.0,1465.0,2701.0,3015.0,8111.0,2364.0,2891.0,3847.0,4600.0
Interest,6494.0,7266.0,6899.0,6829.0,7714.0,9339.0,11021.0,11750.0,9235.0,9445.0,9512.0,9637.0
Depreciation,1446.0,2623.0,1787.0,2370.0,2223.0,1923.0,2462.0,2904.0,2948.0,3502.0,3682.0,4121.0
Profit before tax,7483.0,7217.0,8020.0,8887.0,11639.0,14305.0,14086.0,16918.0,14495.0,17109.0,20517.0,23579.0
Tax,35.0,31.0,30.0,23.0,27.0,28.0,23.0,24.0,29.0,26.0,24.0,25.0
Net Profit,4885.0,4966.0,4592.0,6486.0,8004.0,10217.0,10894.0,12921.0,10419.0,12531.0,15547.0,17673.0
EPS in Rs,35.41,34.17,30.64,43.17,52.59,63.48,68.02,82.47,61.7,74.5,95.0,109.35
Dividend Payout,27.0,32.0,40.0,22.0,30.0,28.0,26.0,44.0,36.0,32.0,36.0,31.0
