Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,52851.0,35853.0,42763.0,46390.0,58335.0,47882.0,51024.0,55128.0,67079.0,55120.0,61555.0,64668.0,74392.0
Expenses,44892.0,30443.0,36400.0,39736.0,49981.0,41566.0,43984.0,47929.0,58426.0,48074.0,53638.0,56770.0,64516.0
Operating Profit,7959.0,5410.0,6362.0,6653.0,8354.0,6316.0,7040.0,7199.0,8653.0,7046.0,7917.0,7898.0,9876.0
OPM,15.0,15.0,15.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,13.0,12.0,13.0
Other Income,516.0,695.0,739.0,891.0,741.0,1146.0,1133.0,838.0,1135.0,921.0,1101.0,968.0,1610.0
Interest,2147.0,2212.0,2304.0,2383.0,2334.0,2299.0,2272.0,2344.0,2345.0,2292.0,2439.0,2486.0,2419.0
Depreciation,769.0,963.0,860.0,825.0,854.0,830.0,910.0,921.0,1021.0,998.0,1024.0,1047.0,1052.0
Profit before tax,5558.0,2929.0,3937.0,4336.0,5907.0,4332.0,4991.0,4772.0,6422.0,4677.0,5555.0,5333.0,8014.0
Tax,28.0,22.0,28.0,29.0,25.0,28.0,23.0,25.0,22.0,26.0,26.0,25.0,23.0
Net Profit,4138.0,2228.0,2785.0,3058.0,4459.0,3096.0,3846.0,3593.0,5013.0,3445.0,4099.0,3974.0,6156.0
EPS in Rs,25.77,12.11,15.86,18.17,28.37,17.74,23.45,21.44,31.98,20.26,24.69,24.43,39.97
Raw PDF,,,,,,,,,,,,,
