Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,51,51,111,111,111,120,120,122,122,122,126,126,126
Reserves,2645,2715,3291,3281,3336,3962,4475,4784,5049,5481,6041,6514,6745
Borrowings,3909,3914,3390,3208,2572,2061,2691,2181,2062,1302,974,980,1726
Other Liabilities,4585,5435,5753,5721,5090,6265,7374,6724,6307,7553,9409,10475,11064
Total Liabilities,11190,12115,12545,12321,11109,12408,14660,13812,13540,14458,16550,18095,19662
Fixed Assets,2809,2608,2446,1674,1099,1158,1551,1413,1417,1443,1503,1565,1598
CWIP,7,24,11,8,1,23,13,15,22,7,22,41,41
Investments,671,1108,1133,1128,729,619,475,448,440,346,352,155,149
Other Assets,7703,8375,8955,9510,9281,10608,12621,11935,11661,12662,14673,16334,17873
Total Assets,11190,12115,12545,12321,11109,12408,14660,13812,13540,14458,16550,18095,19662
