Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,6316,6316,6316,6207,6207,6163,6163,6163,6163,6163,6163,6163
Reserves,36088,34037,28517,18311,13971,20292,25994,30355,36980,54680,76567,92942
Borrowings,178,408,1199,3014,1538,2210,6434,5884,3514,4331,6523,9146
Other Liabilities,62356,70505,77528,91054,103754,104356,111430,118649,132780,156222,147217,151948
Total Liabilities,104938,111267,113560,118587,125471,133021,150020,161051,179436,221396,236470,260198
Fixed Assets,14784,16115,22082,23811,27574,32618,36784,42405,46677,64547,75668,89361
CWIP,4316,5159,4553,8585,10273,9658,8328,10490,12897,17622,18960,15889
Investments,3775,2813,2906,1483,1704,3170,1973,5950,8921,7139,7110,7591
Other Assets,82063,87179,84018,84708,85920,87576,102936,102206,110942,132087,134731,147357
Total Assets,104938,111267,113560,118587,125471,133021,150020,161051,179436,221396,236470,260198
