Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,191,206,207,207,223,223,222,222,222,222,222,222,222
Reserves,35139,40398,38122,40402,45836,54629,57279,58095,66311,77969,94584,105924,114954
Borrowings,56951,64756,68468,67552,63817,52074,52415,68399,67206,64486,60291,56356,60959
Other Liabilities,28309,32621,34950,32986,36268,40088,42056,41902,55083,79178,68392,68221,76129
Total Liabilities,120590,137982,141746,141146,146144,147014,151972,168618,188822,221855,223489,230723,252264
Fixed Assets,37929,61163,71959,85648,84687,85088,85860,89195,100269,106874,110626,111810,111404
CWIP,33834,23059,14111,4214,1814,2063,4097,7721,10202,4945,7700,14867,22341
Investments,12601,12961,12346,12463,15157,10781,9012,9411,17133,14119,14116,15444,22453
Other Assets,36226,40798,43330,38821,44486,49081,53003,62291,61218,95917,91047,88602,96066
Total Assets,120590,137982,141746,141146,146144,147014,151972,168618,188822,221855,223489,230723,252264
