Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,50272.0,55764.0,58018.0,56176.0,53151.0,55857.0,52991.0,54169.0,52808.0,55994.0,57013.0,58203.0,58390.0
Expenses,42960.0,48460.0,49589.0,50814.0,49603.0,50530.0,47277.0,48557.0,46943.0,49314.0,49510.0,50320.0,50807.0
Operating Profit,7312.0,7304.0,8429.0,5362.0,3548.0,5327.0,5714.0,5612.0,5865.0,6680.0,7503.0,7883.0,7583.0
OPM,15.0,13.0,15.0,10.0,7.0,10.0,11.0,10.0,11.0,12.0,13.0,14.0,13.0
Other Income,436.0,34.0,255.0,330.0,368.0,354.0,381.0,496.0,281.0,362.0,96.0,561.0,469.0
Interest,852.0,805.0,847.0,879.0,934.0,986.0,992.0,1034.0,944.0,888.0,859.0,869.0,817.0
Depreciation,1683.0,1761.0,1749.0,1713.0,1768.0,1856.0,1786.0,1843.0,1874.0,2018.0,1892.0,1932.0,1939.0
Profit before tax,5213.0,4772.0,6088.0,3100.0,1214.0,2839.0,3317.0,3231.0,3328.0,4136.0,4848.0,5643.0,5296.0
Tax,30.0,19.0,32.0,29.0,-12.0,15.0,26.0,32.0,30.0,23.0,37.0,31.0,29.0
Net Profit,3675.0,3851.0,4119.0,2205.0,1362.0,2411.0,2454.0,2196.0,2331.0,3174.0,3074.0,3909.0,3735.0
EPS in Rs,16.35,17.14,18.33,9.81,6.06,10.73,10.92,9.77,10.37,14.12,13.68,17.39,16.62
Raw PDF,,,,,,,,,,,,,
