Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,284,303,303,301,301,302,301,301,302,301,301,305,305
Reserves,16781,20871,21987,18665,22346,27696,34494,36298,46462,66996,65394,77364,79361
Borrowings,21625,35527,38754,42204,43334,39393,47396,61423,62392,72237,80853,87984,95258
Other Liabilities,18823,20939,24610,20737,22024,24579,32606,33798,39161,56951,63991,62245,58244
Total Liabilities,57513,77640,85654,81907,88005,91970,114797,131820,148317,196485,210539,227898,233168
Fixed Assets,34717,47046,52176,56140,58730,57848,62644,62085,64917,99880,104452,112461,114294
CWIP,5898,9400,8265,7271,4363,5950,11889,27191,32566,16905,22166,29676,29555
Investments,1750,663,599,1195,1366,1469,1894,1259,8581,4940,4806,7246,10740
Other Assets,15148,20531,24613,17302,23546,26703,38370,41285,42253,74760,79115,78515,78579
Total Assets,57513,77640,85654,81907,88005,91970,114797,131820,148317,196485,210539,227898,233168
