Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,38071.0,46895.0,38086.0,41778.0,39134.0,46962.0,42213.0,44584.0,41940.0,46269.0,42943.0,39684.0,41378.0
Expenses,28939.0,37742.0,33794.0,40082.0,34643.0,39031.0,35201.0,36722.0,34776.0,40243.0,37445.0,34309.0,35799.0
Operating Profit,9132.0,9153.0,4292.0,1696.0,4491.0,7931.0,7012.0,7862.0,7164.0,6026.0,5498.0,5375.0,5579.0
OPM,24.0,20.0,11.0,4.0,11.0,17.0,17.0,18.0,17.0,13.0,13.0,14.0,13.0
Other Income,176.0,-508.0,189.0,779.0,188.0,465.0,331.0,826.0,194.0,242.0,164.0,-189.0,50.0
Interest,1283.0,1756.0,1422.0,1523.0,1819.0,2138.0,1963.0,2084.0,1996.0,2062.0,2073.0,2130.0,2115.0
Depreciation,1764.0,1815.0,1778.0,1805.0,1882.0,2009.0,1900.0,2019.0,2059.0,2194.0,2209.0,2267.0,2336.0
Profit before tax,6261.0,5074.0,1281.0,-853.0,978.0,4249.0,3480.0,4585.0,3303.0,2012.0,1380.0,789.0,1178.0
Tax,28.0,34.0,34.0,7.0,52.0,12.0,30.0,40.0,26.0,34.0,37.0,49.0,39.0
Net Profit,4516.0,3343.0,839.0,-915.0,474.0,3741.0,2428.0,2773.0,2450.0,1322.0,867.0,404.0,719.0
EPS in Rs,18.02,13.38,3.47,-3.51,2.03,15.16,9.67,11.29,9.88,5.31,3.46,1.8,2.93
Raw PDF,,,,,,,,,,,,,
