Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,5874.0,6785.0,4767.0,3328.0,3720.0,5851.0,5395.0,4014.0,5410.0,6489.0,5414.0,4919.0,6568.0
Expenses,3263.0,4061.0,2869.0,2477.0,2579.0,3689.0,3401.0,2824.0,3403.0,4388.0,3074.0,3533.0,4196.0
Operating Profit,2611.0,2725.0,1898.0,851.0,1141.0,2162.0,1994.0,1190.0,2007.0,2102.0,2340.0,1386.0,2372.0
OPM,44.0,40.0,40.0,26.0,31.0,37.0,37.0,30.0,37.0,32.0,43.0,28.0,36.0
Other Income,153.0,332.0,146.0,426.0,205.0,1228.0,294.0,321.0,84.0,389.0,365.0,361.0,375.0
Interest,9.0,25.0,15.0,18.0,30.0,12.0,6.0,19.0,32.0,21.0,23.0,29.0,61.0
Depreciation,61.0,112.0,85.0,74.0,84.0,93.0,69.0,89.0,82.0,111.0,74.0,103.0,103.0
Profit before tax,2694.0,2920.0,1944.0,1185.0,1232.0,3285.0,2212.0,1404.0,1977.0,2359.0,2608.0,1614.0,2584.0
Tax,24.0,36.0,24.0,25.0,27.0,31.0,25.0,27.0,26.0,40.0,25.0,26.0,27.0
Net Profit,2048.0,1866.0,1445.0,972.0,914.0,2272.0,1653.0,1026.0,1482.0,1410.0,1969.0,1205.0,1880.0
EPS in Rs,2.33,2.12,1.64,1.11,1.04,2.58,1.88,1.17,1.69,1.61,2.24,1.38,2.14
Raw PDF,,,,,,,,,,,,,
