Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,4131,4131,4131,4131,4131,4131,4131,4131,4131,4131,4131,4131,4131
Reserves,37514,39154,39641,36021,32912,32816,35516,37380,41276,50081,50616,52971,53458
Borrowings,22539,26020,32146,35141,41396,45409,45170,54127,37677,17284,30773,36323,41265
Other Liabilities,22506,24767,26932,26234,29405,33339,33385,31560,35007,48885,45262,47598,40889
Total Liabilities,86689,94072,102849,101527,107843,115694,118201,127198,118090,120381,130782,141022,139742
Fixed Assets,18384,28175,39011,45942,50300,58625,61374,69034,67618,73677,73543,72426,71755
CWIP,36161,33958,29328,24927,23275,18395,16014,8753,8881,4710,4891,6141,6443
Investments,73,91,61,2280,2475,2629,2975,3240,3442,3757,4185,4589,4776
Other Assets,32071,31847,34450,28377,31792,36044,37838,46170,38149,38237,48163,57867,56768
Total Assets,86689,94072,102849,101527,107843,115694,118201,127198,118090,120381,130782,141022,139742
