Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,44891.0,46804.0,46032.0,38793.0,44210.0,57496.0,66973.0,61664.0,69114.0,103477.0,104448.0,105378.0,101121.0
Expenses,39982.0,42646.0,41217.0,41628.0,44094.0,52788.0,57167.0,51400.0,56337.0,82114.0,96410.0,94229.0,90476.0
Operating Profit,4910.0,4157.0,4815.0,-2834.0,115.0,4708.0,9807.0,10264.0,12776.0,21363.0,8038.0,11149.0,10645.0
OPM,11.0,9.0,10.0,-7.0,0.0,8.0,15.0,17.0,18.0,21.0,8.0,11.0,11.0
Other Income,923.0,2071.0,892.0,425.0,378.0,654.0,283.0,280.0,1349.0,902.0,1856.0,665.0,644.0
Interest,846.0,1047.0,1555.0,2300.0,2528.0,2823.0,3155.0,3487.0,2817.0,1698.0,2037.0,2474.0,2771.0
Depreciation,1527.0,1836.0,1907.0,2404.0,2682.0,3066.0,3385.0,3756.0,4103.0,4275.0,4964.0,5278.0,5483.0
Profit before tax,3460.0,3346.0,2245.0,-7114.0,-4716.0,-527.0,3549.0,3302.0,7206.0,16292.0,2892.0,4062.0,3036.0
Tax,33.0,21.0,14.0,-41.0,-42.0,-47.0,34.0,36.0,42.0,25.0,25.0,24.0,
Net Profit,2329.0,2652.0,1939.0,-4176.0,-2756.0,-281.0,2349.0,2121.0,4148.0,12243.0,2177.0,3067.0,2246.0
EPS in Rs,5.64,6.42,4.93,-10.11,-6.67,-0.68,5.69,5.13,10.04,29.64,5.27,7.42,5.44
Dividend Payout,35.0,31.0,41.0,0.0,0.0,0.0,9.0,0.0,28.0,30.0,28.0,27.0,
