Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,25247.0,30759.0,24029.0,26246.0,25042.0,29131.0,24359.0,29712.0,23349.0,27959.0,23998.0,24675.0,24490.0
Expenses,21845.0,26421.0,21727.0,25511.0,22964.0,26206.0,22710.0,25837.0,21206.0,24476.0,21778.0,21762.0,22460.0
Operating Profit,3402.0,4338.0,2302.0,735.0,2079.0,2924.0,1649.0,3875.0,2142.0,3483.0,2220.0,2913.0,2030.0
OPM,13.0,14.0,10.0,3.0,8.0,10.0,7.0,13.0,9.0,12.0,9.0,12.0,8.0
Other Income,-31.0,525.0,314.0,512.0,509.0,519.0,527.0,-174.0,355.0,-43.0,-28.0,322.0,393.0
Interest,316.0,440.0,374.0,506.0,640.0,517.0,613.0,605.0,614.0,642.0,691.0,758.0,680.0
Depreciation,1049.0,1144.0,1194.0,1183.0,1221.0,1365.0,1275.0,1327.0,1321.0,1356.0,1402.0,1304.0,1421.0
Profit before tax,2006.0,3279.0,1047.0,-443.0,726.0,1562.0,288.0,1770.0,563.0,1441.0,98.0,1173.0,323.0
Tax,24.0,24.0,23.0,-26.0,25.0,26.0,26.0,26.0,25.0,22.0,17.0,24.0,56.0
Net Profit,1529.0,2479.0,804.0,-329.0,542.0,1159.0,212.0,1306.0,423.0,1126.0,82.0,897.0,142.0
EPS in Rs,3.7,6.0,1.95,-0.8,1.31,2.81,0.51,3.16,1.02,2.73,0.2,2.17,0.34
Raw PDF,,,,,,,,,,,,,
