Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,971,971,970,970,1145,1145,1145,1198,1221,1221,1247,1247
Reserves,39561,30378,42762,36849,59726,67780,72431,73041,113222,101861,90788,89922
Borrowings,81629,80701,81987,83014,92147,100816,116328,88501,75561,84893,87082,94801
Other Liabilities,49443,47059,51165,51614,55704,63032,59245,81169,92417,97421,90195,93424
Total Liabilities,171604,159109,176884,172447,208722,232773,249149,243909,282422,285396,269312,279395
Fixed Assets,74907,68100,72200,92007,96105,124442,134551,135775,133288,146621,148814,151935
CWIP,26822,28678,35996,15784,16614,18641,19497,19007,22046,31213,34356,40602
Investments,5093,3455,10714,12457,17899,5738,6285,10682,13140,8410,6258,6194
Other Assets,64781,58876,57974,52200,78103,83952,88816,78445,113948,99151,79885,80664
Total Assets,171604,159109,176884,172447,208722,232773,249149,243909,282422,285396,269312,279395
