Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,296,296,296,297,372,372,372,372,372,372,372,391
Reserves,72712,53579,43743,60128,62940,61925,54263,61906,65011,39051,30350,40821
Borrowings,80566,77752,67778,71569,58159,66226,59187,57669,53583,80329,87706,75186
Other Liabilities,60545,58654,80163,64952,58896,70045,66915,63549,74981,69703,69690,86895
Total Liabilities,214120,190281,191980,196946,180367,198568,180737,183496,193947,189455,188118,203293
Fixed Assets,87205,70108,67231,76756,80279,96397,88904,90470,93466,95744,98963,102862
CWIP,43128,38748,38461,27557,32055,24959,18585,16314,15879,19529,22889,30939
Investments,37910,39606,53386,46962,28700,33065,24753,16660,17291,13150,11869,14532
Other Assets,45877,41819,32903,45671,39333,44147,48495,60052,67311,61032,54397,54960
Total Assets,214120,190281,191980,196946,180367,198568,180737,183496,193947,189455,188118,203293
